correspondents_id	type	gender	viaf_id	Label	known_name_variations	known_name_variations_ref	pob_loc_id	pob_loc_annotation	pob_loc_annotation_ref	dob_year1	dob_month1	dob_day1	dob_computable1	dob_has_range	dob_year2	dob_month2	dob_day2	dob_computable2	dob_annotion	dob_annotion_ref	pod_loc_id	pod_loc_annotation	pod_loc_annotation_ref	dod_year1	dod_month1	dod_day1	dod_computable1	dod_has_range	dod_year2	dod_month2	dod_day2	dod_computable2	dod_annotion	dod_annotion_ref	further_annotation
eck_johann_viaf_100185986	individual	male	100185986	Johann Maier of ECK	Maier // Eckius // Mecke // Eck // Eccus // Eckcius // Mayr // Mair // Eccius // Eckius // Ekius // Ecke // Eeck // Eycken // Ecken // Maierus // Maioris	GND	egg_an_der_günz_DE_gid_2933168	Eck [Egg] an der Günz bei Ottobeuren/Schwaben	HGK I, 241	1486	NULL	NULL	1486-01-01	1	1486	NULL	NULL	1486-12-31	1486	COE I, 416-419	ingolstadt_DE_gid_2895992	Ingolstadt	HGK I, 241	1543	02	10	1543-02-10	0	1543	02	10	1543-02-10	10 February 1543	COE I, 416-419	
pirckheimer_willibald_viaf_27173507	individual	male	27173507	Willibald PIRCKHEIMER	Philadelphus // Cotta // Cottalambergius // Cottalembergius // Cotta Lembergius // Pirckheimer // Byrkhamer // Pirkeymerus // Pyrckheimerus // Pyrkheymerus // Birgheimerus // Birgheimer // Pirckheymer // Birckheimer // Pirckheimerus // Pirkheimer // Pirchaimerus // Pirckeymer // Bircamer // Birchheimer // Pirkheymer // Pirkamerus // Pirkeymer // Bircamerus // Birckhaimer // Pircheimerus // Pirckeymerus // Pirckeymherus // Pirckheymerus // Birckheymerus // Pircheymerus // Pirckheimherus // Pirckh	GND	eichstätt_DE_gid_2932069	Eichstätt	COE III, 90-94	1470	12	05	1470-12-05	0	1470	12	05	1470-12-05	5 December 1470	COE III, 90-94	nürnberg_DE_gid_2861650	Nürnberg	COE III, 90-94	1530	12	22	1530-12-22	0	1530	12	22	1530-12-22	22 December 1530	COE III, 90-94	
leo_x_pope_viaf_316407579	individual	male	316407579	Pope LEO X	Giovanni de' Medici	COE II, 319-322	florence_IT_gid_3176959	Florence	COE II, 319-322	1475	12	11	1475-12-11	0	1475	12	11	1475-12-11	11 December 1475	COE II, 319-322	rome_IT_gid_3169070	Rome	COE II, 319-322	1521	12	01	1521-12-01	0	1521	12	01	1521-12-01	1 December 1521	COE II, 319-322	
zasius_ulrich_viaf_61645489	individual	male	61645489	Udalricus ZASIUS	Zasy // Zäsy // Zazius	GND // COE III, 469-473	konstanz_DE_gid_2885679	Konstanz	GND	1461	NULL	NULL	1461-01-01	1	1461	NULL	NULL	1461-12-31	1461	COE III, 469-473	freiburg_DE_gid_2925177	Freiburg im Breisgau	GND	1535	11	24	1535-11-24	0	1535	11	24	1535-11-24	24 November 1535	COE III, 469-473	
gerbel_nicolaus_viaf_60906847	individual	male	60906847	Nikolaus GERBEL	Gerbellius // Musophilus // Gerbelius // Gnidius // Cotta	COE II, 90-91 // HGK I, 294 // GND	pforzheim_DE_gid_2853969	Pforzheim	HGK I, 294	1485	NULL	NULL	1485-01-01	1	1485	NULL	NULL	1485-12-31	c 1485	COE II, 90-91	strasbourg_FR_gid_2973783	Straßburg	HGK I, 294	1560	01	20	1560-01-20	0	1560	01	20	1560-01-20	20 January 1560	COE II, 90-91	
reuchlin_johann_viaf_66542815	individual	male	66542815	Johann REUCHLIN	Capnion // Capnio // Roechlin // Kapnion // Reuchlinus	GND	pforzheim_DE_gid_2853969	Pforzheim	Reuchlin BW	1454	01	29	1454-01-29	0	1454	01	29	1454-01-29	29. Januar 1455	Reuchlin BW	stuttgart_DE_gid_2825297	Stuttgart	Reuchlin BW	1522	06	30	1522-06-30	0	1522	06	30	1522-06-30	30 June 1522	COE III, 145-150	
erasmus_desiderius_viaf_95982394	individual	male	95982394	ERASMUS	NULL	NULL	rotterdam_NL_gid_2747891	bei Rotterdam	HGK I, 250	1469	NULL	NULL	1469-01-01	1	NULL	NULL	NULL	1469-12-31	1469	HGK I, 250	basel_CH_gid_2661604	Basel	HGK I, 250	1536	NULL	NULL	1536-01-01	1	1536	NULL	NULL	1536-12-31	1536	HGK I 250	
rhenanus_beatus_viaf_39415982	individual	male	39415982	BEATUS Rhenanus	Rinower // Licentius Evangelus // Bild // Selezestadiensis // Selestadiensis // Bildius	COE I, 104-109 // GND	sélestat_FR_gid_2975233	Sélestat	COE I, 104-109	1485	08	22	1485-08-22	0	1485	08	22	1485-08-22	22 August 1485	COE I, 104-109	strasbourg_FR_gid_2973783	Strasbourg	COE I, 104-109	1547	07	20	1547-07-20	0	1547	07	20	1547-07-20	20 July 1547	COE I, 104-109	
hutten_ulrich_von_viaf_95193756	individual	male	95193756	Ulrich von HUTTEN	Huttenus // ab Hutten	HGK I, 350	steckelberg_castle_DE_gid_unknown	Burg Steckelberg bei Schlüchtern nahe Fulda/Hessen	HGK I, 350	1488	04	21	1488-04-21	0	1488	04	21	1488-04-21	21 April 1488	COE II, 216-220	ufenau_CH_gid_7669974	Insel Ufenau im Zürichsee	HGK I, 350	1523	08	NULL	1523-08-20	1	1523	08	NULL	1523-08-31	end of August 1523	COE II, 216-220	
emser_hieronymus_viaf_19702295	individual	male	19702295	Hieronymus EMSER	Emßer // Embser // Empse // Emsser	GND	weidenstetten_DE_gid_2812958	Weidenstetten bei Ulm	HGK I, 246	1479	03	28	1479-03-28	0	1479	03	28	1479-03-28	28 March 1479	COE I, 429-430	dresden_DE_gid_2935022	Dresden	HGK I, 246	1527	12	08	1527-12-08	0	1527	12	08	1527-12-08	8 December 1527	COE I, 429-430	HGK I gibt abweichend 1478 als DoB an